email,cohort,pre,post,age,sex,education,satisfaction,study_hours
smehaffey0@creativecommons.org,4,485,494,32,Male,Bachelor's,2,36.6
bbenham2@xrea.com,3,477,483,33,Female,Bachelor's,1,19.8
jagostini4@wordpress.org,1,495,494,38,Female,Bachelor's,9,32.5
kbridgnell5@webnode.com,1,484,503,32,Female,Bachelor's,6,32.2
abotham6@usda.gov,1,497,501,30,Female,Bachelor's,10,32.3
szeal7@pinterest.com,2,451,457,32,Male,Bachelor's,4,26.2
ikidby8@who.int,4,452,448,29,Female,Bachelor's,9,27.9
njaeggia@microsoft.com,4,469,479,39,Female,Doctorate,4,34.3
sdesporteb@deviantart.com,2,477,471,35,Female,Bachelor's,1,24.2
kgoodbarc@blinklist.com,3,487,471,26,Male,Master's,10,33.5
ktrevethand@ca.gov,3,479,477,25,Male,Bachelor's,1,35.4
brisbridgef@constantcontact.com,3,511,513,35,Female,Bachelor's,4,27.6
nsanchizg@nih.gov,1,461,465,35,Male,Bachelor's,5,30.2
plovelessh@unicef.org,1,479,473,26,Female,Doctorate,6,21.5
dnoyei@ft.com,3,486,484,29,Male,Bachelor's,1,27.9
khowlingj@reuters.com,3,476,469,21,Male,Bachelor's,3,29.4
dquinetk@51.la,3,501,494,29,Male,Bachelor's,8,24
nmorchl@arizona.edu,1,432,434,38,Female,Bachelor's,3,19.9
estoodleym@liveinternet.ru,1,521,525,30,Female,Bachelor's,9,27.9
sstaresn@shutterfly.com,1,457,459,21,Female,Bachelor's,6,26.5
snettleo@biblegateway.com,2,484,492,34,Female,Bachelor's,4,18.8
hlennardep@zimbio.com,1,494,502,21,Male,Bachelor's,6,28.5
ptignerq@dailymotion.com,2,464,464,25,Male,Bachelor's,1,21.8
troser@ft.com,4,489,485,36,Male,Bachelor's,6,29.1
mcoultasst@goo.gl,3,490,481,23,Male,Bachelor's,1,14.5
osandlandv@irs.gov,3,520,518,21,Male,Bachelor's,8,34.4
llyfieldw@symantec.com,1,485,501,23,Female,Bachelor's,3,24
prydeardx@about.com,4,457,458,27,Male,Bachelor's,7,21.6
gthalmanny@gmpg.org,1,493,482,23,Female,Bachelor's,7,29.1
aallsup10@opensource.org,3,489,473,25,Male,Bachelor's,3,26
mollin11@prnewswire.com,3,409,398,21,Female,Bachelor's,1,26.2
epresser12@globo.com,3,506,509,25,Female,Master's,2,15.8
jyakebovich14@purevolume.com,4,483,493,32,Male,Master's,4,30
dtweede15@marriott.com,4,471,460,33,Female,Bachelor's,9,34.5
bccomini17@archive.org,2,500,495,20,Female,Bachelor's,4,27.2
aspinelli18@imdb.com,4,485,482,32,Female,Bachelor's,3,23.3
